Methanol_T,Methanol_P
64.7932119321193,106.459898267103
64.7951179511795,106.513179419738
64.7970239702397,106.566483893859
64.7989299892999,106.61981170759
64.8008360083601,106.673162839986
64.8027420274203,106.72653734343
64.8046480464805,106.779935178804
64.8065540655407,106.833356382478
64.8084600846009,106.886800953716
64.810366103661,106.940268923716
64.8122721227212,106.993760285557
64.8141781417814,107.047275025901
64.8160841608416,107.100813182342
64.8179901799018,107.154374746386
64.819896198962,107.207959763996
64.8218022180222,107.261568194852
64.8237082370824,107.315200052121
64.8256142561426,107.368855381589
64.8275202752028,107.422534151249
64.8294262942629,107.476236410572
64.8313323133231,107.529962117542
64.8332383323833,107.583711332176
64.8351443514435,107.637484041018
64.8370503705037,107.69128024308
64.8389563895639,107.745099967081
64.8408624086241,107.798943192286
64.8427684276843,107.852809976872
64.8446744467445,107.906700272013
64.8465804658047,107.960614116621
64.8484864848648,108.014551513984
64.850392503925,108.068512476865
64.8522985229852,108.122497012371
64.8542045420454,108.176505140497
64.8561105611056,108.23053684897
64.8580165801658,108.284592166745
64.859922599226,108.338671086914
64.8618286182862,108.392773593692
64.8637346373464,108.446899741221
64.8656406564066,108.501049524878
64.8675466754668,108.555222951829
64.8694526945269,108.609420043429
64.8713587135871,108.663640781319
64.8732647326473,108.717885190402
64.8751707517075,108.772153248579
64.8770767707677,108.826445018855
64.8789827898279,108.880760493699
64.8808888088881,108.935099653528
64.8827948279483,108.989462520064
64.8847008470085,109.043849112541
64.8866068660687,109.098259439805
64.8885128851288,109.152693496961
64.890418904189,109.207151300471
64.8923249232492,109.261632848809
64.8942309423094,109.316138206442
64.8961369613696,109.370667285306
64.8980429804298,109.425220181367
64.89994899949,109.479796853459
64.9018550185502,109.534397305947
64.9037610376104,109.589021572556
64.9056670566706,109.643669681483
64.9075730757308,109.698341586237
64.909479094791,109.753037336409
64.9113851138511,109.807756940581
64.9132911329113,109.862500394167
64.9151971519715,109.917267690524
64.9171031710317,109.972058860354
64.9190091900919,110.026873924092
64.9209152091521,110.08171286716
64.9228212282123,110.136575702789
64.9247272472725,110.191462439195
